"lot","language","link_text","href","requested_url","final_url","http_status","content_type","status","notes"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","Alle Designs ansehen","/de/collections/alle-matchwallsmurals-wandbilder","https://www.matchwalls.com/de/collections/alle-matchwallsmurals-wandbilder","https://www.matchwalls.com/de/collections/alle-matchwallsmurals-wandbilder","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","Wand messen","/de/pages/wie-man-wandmessungen-durchnimmt","https://www.matchwalls.com/de/pages/wie-man-wandmessungen-durchnimmt","https://www.matchwalls.com/de/pages/wie-man-wandmessungen-durchnimmt","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","Individuelles Wandbild erstellen","/de/products/benutzerdefinierte-datei-uploader","https://www.matchwalls.com/de/products/benutzerdefinierte-datei-uploader","https://www.matchwalls.com/de/products/benutzerdefinierte-datei-uploader","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","Professionelles Konto","/de/pages/professionelle-form","https://www.matchwalls.com/de/pages/professionelle-form","https://www.matchwalls.com/de/pages/professionelle-form","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","Tapete in Spanien","/de/pages/spanien-tapete","https://www.matchwalls.com/de/pages/spanien-tapete","https://www.matchwalls.com/de/pages/spanien-tapete","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","Tapete in Frankreich","/de/pages/franzosische-tapete","https://www.matchwalls.com/de/pages/franzosische-tapete","https://www.matchwalls.com/de/pages/franzosische-tapete","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","Alle designs bekijken","/nl/collections/alle-matchwallsmurals-muurschilderingen","https://www.matchwalls.com/nl/collections/alle-matchwallsmurals-muurschilderingen","https://www.matchwalls.com/nl/collections/alle-matchwallsmurals-muurschilderingen","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","Wand meten","/nl/pages/hoe-u-muurmetingen-kunt-uitvoeren","https://www.matchwalls.com/nl/pages/hoe-u-muurmetingen-kunt-uitvoeren","https://www.matchwalls.com/nl/pages/hoe-u-muurmetingen-kunt-uitvoeren","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","Gepersonaliseerde wandprint maken","/nl/products/aangepaste-bestandsbelaster","https://www.matchwalls.com/nl/products/aangepaste-bestandsbelaster","https://www.matchwalls.com/nl/products/aangepaste-bestandsbelaster","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","Professioneel account","/nl/pages/professionele-vorm","https://www.matchwalls.com/nl/pages/professionele-vorm","https://www.matchwalls.com/nl/pages/professionele-vorm","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","Behang in Spanje","/nl/pages/spanje-behang","https://www.matchwalls.com/nl/pages/spanje-behang","https://www.matchwalls.com/nl/pages/spanje-behang","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","Behang in Frankrijk","/nl/pages/frans-behang","https://www.matchwalls.com/nl/pages/frans-behang","https://www.matchwalls.com/nl/pages/frans-behang","429","","NO ACCESIBLE","Discarded technical console check: blocked by rate-limit/anti-bot or request error. Superseded by qa-links navegational browser matrix."
