queue_rank,url,locale_signal,page_type,topic_cluster,impressions,clicks,avg_position,priority,status,qa_checks_required,write_allowed_now,recommended_lote
1,https://www.matchwalls.com/collections/murales-estilo-geometrico,ES,collection,Colecci?n producto/color/patr?n/espacio,10,1,6.9,ALTA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
20,https://www.matchwalls.com/collections/comprar-papel-pintado-huelva,ES,collection,Geo/local,1,0,4.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
21,https://www.matchwalls.com/collections/murales-para-el-dormitorio,ES,collection,Colecci?n producto/color/patr?n/espacio,1,0,8.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
22,https://www.matchwalls.com/products/ondas-suaves-azul,ES,product,Producto,1,0,8.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
23,https://www.matchwalls.com/products/tartan-contemporaneo-beige,ES,product,Producto,1,0,2.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
24,https://www.matchwalls.com/collections/comprar-papel-pintado-marsella,ES,collection,Geo/local,1,0,1.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
25,https://www.matchwalls.com/collections/papeles-pintados-color-plateado,ES,collection,Colecci?n producto/color/patr?n/espacio,1,0,10.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
26,https://www.matchwalls.com/en/products/verdant-zenith-gray-3,EN,product,Producto,1,0,10.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
27,https://www.matchwalls.com/en/collections/malaga-wallpaper,EN,collection,Geo/local,1,0,9.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
28,https://www.matchwalls.com/collections/murales-para-una-oficina-comercial,ES,collection,Colecci?n producto/color/patr?n/espacio,1,0,10.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
29,https://www.matchwalls.com/collections/papeles-pintados-color-amarillo,ES,collection,Colecci?n producto/color/patr?n/espacio,1,0,2.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
30,https://www.matchwalls.com/products/tartan-contemporaneo-amarillo,ES,product,Producto,1,0,5.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
31,https://www.matchwalls.com/products/navy-precision-azul,ES,product,Producto,1,0,4.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
32,https://www.matchwalls.com/products/tartan-contemporaneo-azul,ES,product,Producto,1,0,4.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
33,https://www.matchwalls.com/collections/papeles-pintados-color-rosa,ES,collection,Colecci?n producto/color/patr?n/espacio,1,0,8.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
34,https://www.matchwalls.com/fr/products/eclipse-lunaire-grise,FR,product,Producto,1,0,8.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
35,https://www.matchwalls.com/en/collections/la-rioja-wallpaper,EN,collection,Geo/local,1,0,5.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
36,https://www.matchwalls.com/collections/murales-estilo-maderas,ES,collection,Colecci?n producto/color/patr?n/espacio,1,0,5.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
37,https://www.matchwalls.com/en/collections/castellon-wallpaper,EN,collection,Geo/local,1,0,9.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
38,https://www.matchwalls.com/de/collections/peel-stick-self-adhasive-tapete,DE,collection,Colecci?n producto/color/patr?n/espacio,1,0,10.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
39,https://www.matchwalls.com/products/tartan-sutil-beige,ES,product,Producto,1,0,8.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
40,https://www.matchwalls.com/products/cuadricula-clasica-blanco-y-negro,ES,product,Producto,1,0,7.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
41,https://www.matchwalls.com/en/pages/all-about-our-murals,EN,page,Mural personalizado / informacional,1,0,3.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
42,https://www.matchwalls.com/products/stripe-harmony-verde,ES,product,Producto,1,0,9.0,BAJA,VERIFICADO PERO MEJORABLE,HTTP status; indexability; title/meta; H1/H2; canonical; hreflang; schema; internal links; desktop/mobile render; no stale Shopify cache issue,no,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6
