"lot","language","link_text","href","requested_url","final_url","title","h1","visible_404","noindex","status","notes"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","Wallpaper in Spain","/en/pages/spain-wallpaper","https://www.matchwalls.com/en/pages/spain-wallpaper","https://www.matchwalls.com/en/pages/spain-wallpaper","Wallpaper in Spain for homes and professional projects","Wallpaper in Spain for homes and professional projects","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","EN","Wallpaper in France","/en/pages/french-wallpaper","https://www.matchwalls.com/en/pages/french-wallpaper","https://www.matchwalls.com/en/pages/french-wallpaper","Wallpaper in France for interiors and professional projects","Wallpaper in France for interiors and professional projects","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","Voir tous les designs","/fr/collections/tous-les-peintures-murales-matchwallsmurals","https://www.matchwalls.com/fr/collections/tous-les-peintures-murales-matchwallsmurals","https://www.matchwalls.com/fr/collections/tous-les-peintures-murales-matchwallsmurals","Tous les Papiers Peints et Fresques Murales - Designs Modernes","Tous les Papiers Peints","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","Mesurer le mur","/fr/pages/comment-prendre-des-mesures-murales","https://www.matchwalls.com/fr/pages/comment-prendre-des-mesures-murales","https://www.matchwalls.com/fr/pages/comment-prendre-des-mesures-murales","Comment mesurer un mur pour le papier peint â€” MatchWalls","Comment prendre les mesures dâ€™un mur pour le papier peint","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","CrÃ©er un panoramique personnalisÃ©","/fr/products/telechargeur-de-fichiers-personnalise","https://www.matchwalls.com/fr/products/telechargeur-de-fichiers-personnalise","https://www.matchwalls.com/fr/products/telechargeur-de-fichiers-personnalise","Papier peint et fresque sur mesure | MatchWalls","Votre fresque personnalisÃ©e","False","True","VERIFICADO PERO MEJORABLE","Destination works but has noindex; acceptable for functional link, SEO value limited"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","Compte professionnel","/fr/pages/forme-professionnelle","https://www.matchwalls.com/fr/pages/forme-professionnelle","https://www.matchwalls.com/fr/pages/forme-professionnelle","Compte professionnel â€“ Formulaire","Forme professionnelle","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","Papier peint en Espagne","/fr/pages/papier-peint-en-espagne","https://www.matchwalls.com/fr/pages/papier-peint-en-espagne","https://www.matchwalls.com/fr/pages/papier-peint-en-espagne","Papier peint en Espagne pour intÃ©rieurs rÃ©sidentiels et projets profes","Papier peint en Espagne pour intÃ©rieurs rÃ©sidentiels et projets professionnels","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","FR","Papier peint en France","/fr/pages/papier-peint-en-france","https://www.matchwalls.com/fr/pages/papier-peint-en-france","https://www.matchwalls.com/fr/pages/papier-peint-en-france","Papier peint en France pour intÃ©rieurs rÃ©sidentiels et projets profess","Papier peint en France pour intÃ©rieurs rÃ©sidentiels et projets professionnels","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","Alle Designs ansehen","/de/collections/alle-matchwallsmurals-wandbilder","https://www.matchwalls.com/de/collections/alle-matchwallsmurals-wandbilder","https://www.matchwalls.com/de/collections/alle-matchwallsmurals-wandbilder","Alle Tapeten und Wandbilder - Moderne Designs","Alle Tapeten","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","Wand messen","/de/pages/wie-man-wandmessungen-durchnimmt","https://www.matchwalls.com/de/pages/wie-man-wandmessungen-durchnimmt","https://www.matchwalls.com/de/pages/wie-man-wandmessungen-durchnimmt","Wand ausmessen fÃ¼r Tapeten â€” MatchWalls","Wie man WÃ¤nde fÃ¼r Tapeten ausmisst â€” Schritt-fÃ¼r-Schritt-Anleitung","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","Individuelles Wandbild erstellen","/de/products/benutzerdefinierte-datei-uploader","https://www.matchwalls.com/de/products/benutzerdefinierte-datei-uploader","https://www.matchwalls.com/de/products/benutzerdefinierte-datei-uploader","Individuelle Tapete und Fototapete | MatchWalls","Ihr individuelles WandgemÃ¤lde","False","True","VERIFICADO PERO MEJORABLE","Destination works but has noindex; acceptable for functional link, SEO value limited"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","Professionelles Konto","/de/pages/professionelle-form","https://www.matchwalls.com/de/pages/professionelle-form","https://www.matchwalls.com/de/pages/professionelle-form","GeschÃ¤ftskonto â€“ Formular","Professionelle Form","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","Tapete in Spanien","/de/pages/spanien-tapete","https://www.matchwalls.com/de/pages/spanien-tapete","https://www.matchwalls.com/de/pages/spanien-tapete","Tapeten in Spanien fÃ¼r WohnrÃ¤ume und gewerbliche Projekte","Tapeten in Spanien fÃ¼r WohnrÃ¤ume und gewerbliche Projekte","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","DE","Tapete in Frankreich","/de/pages/franzosische-tapete","https://www.matchwalls.com/de/pages/franzosische-tapete","https://www.matchwalls.com/de/pages/franzosische-tapete","Tapeten in Frankreich fÃ¼r InnenrÃ¤ume und gewerbliche Projekte","Tapeten in Frankreich fÃ¼r InnenrÃ¤ume und gewerbliche Projekte","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","Alle designs bekijken","/nl/collections/alle-matchwallsmurals-muurschilderingen","https://www.matchwalls.com/nl/collections/alle-matchwallsmurals-muurschilderingen","https://www.matchwalls.com/nl/collections/alle-matchwallsmurals-muurschilderingen","Alle Behang en Muurschilderingen - Moderne Ontwerpen","Alle Behang","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","Wand meten","/nl/pages/hoe-u-muurmetingen-kunt-uitvoeren","https://www.matchwalls.com/nl/pages/hoe-u-muurmetingen-kunt-uitvoeren","https://www.matchwalls.com/nl/pages/hoe-u-muurmetingen-kunt-uitvoeren","Muren meten voor behang â€” MatchWalls","Hoe muren meten voor behang â€” Stap-voor-stap handleiding","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","Gepersonaliseerde wandprint maken","/nl/products/aangepaste-bestandsbelaster","https://www.matchwalls.com/nl/products/aangepaste-bestandsbelaster","https://www.matchwalls.com/nl/products/aangepaste-bestandsbelaster","Behang en fotobehang op maat | MatchWalls","Uw aangepaste muurschildering","False","True","VERIFICADO PERO MEJORABLE","Destination works but has noindex; acceptable for functional link, SEO value limited"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","Professioneel account","/nl/pages/professionele-vorm","https://www.matchwalls.com/nl/pages/professionele-vorm","https://www.matchwalls.com/nl/pages/professionele-vorm","Professioneel account â€“ Formulier","Professionele vorm","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","Behang in Spanje","/nl/pages/spanje-behang","https://www.matchwalls.com/nl/pages/spanje-behang","https://www.matchwalls.com/nl/pages/spanje-behang","Behang in Spanje voor woningen en professionele projecten","Behang in Spanje voor woningen en professionele projecten","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
"MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B","NL","Behang in Frankrijk","/nl/pages/frans-behang","https://www.matchwalls.com/nl/pages/frans-behang","https://www.matchwalls.com/nl/pages/frans-behang","Behang in Frankrijk voor interieurs en professionele projecten","Behang in Frankrijk voor interieurs en professionele projecten","False","False","VERIFICADO Y CORRECTO","Destination navigates without visible 404"
