"locale","id","path","current_target","source_status_chain","source_hops","final_status","final_url","state","issue","recommendation","next_lote"
"fr","gid://shopify/UrlRedirect/417581334755","/fr/collections/bedroom-painted-papers-matchwallswallpa","/fr/collections/bedroom-murals-matchwallsmurals","301 -> 301 -> 200","2","200","https://www.matchwalls.com/fr/collections/peintures-murales-de-chambre-matchwallsmurals","VERIFICADO PERO MEJORABLE","Redirect FR con cadena multiple hasta 200.","Candidato a consolidar target directamente a URL final 200 verificada.","MW-INDEXABILITY-REDIRECTS-FR-CHAIN-CONSOLIDATION-011G4A"
"fr","gid://shopify/UrlRedirect/417581367523","/fr/collections/painted-papers-baller-matchwallswallpapers","/fr/collections/mural-murals-matchwallsmurals","301 -> 404","1","404","https://www.matchwalls.com/fr/collections/mural-murals-matchwallsmurals","INCORRECTO","Redirect FR termina en 404.","No repuntar automaticamente. Requiere decision: eliminar redirect o mapear a coleccion FR equivalente real.","MW-INDEXABILITY-REDIRECTS-FR-DEAD-TARGET-DECISION-011G4B"
"fr","gid://shopify/UrlRedirect/417581400291","/fr/collections/painted-adolescents-matchwallswallpapers","/fr/collections/mural-for-teenage-rooms-matchwallsmurals","301 -> 301 -> 200","2","200","https://www.matchwalls.com/fr/collections/peinture-murale-pour-les-salles-dadolescents-matchwallsmurals","VERIFICADO PERO MEJORABLE","Redirect FR con cadena multiple hasta 200.","Candidato a consolidar target directamente a URL final 200 verificada.","MW-INDEXABILITY-REDIRECTS-FR-CHAIN-CONSOLIDATION-011G4A"
"fr","gid://shopify/UrlRedirect/417581433059","/fr/collections/papinons-peints-paysages-matchwallswallpapers","/fr/collections/paysages-muraux-matchwallsmurals","301 -> 200","1","200","https://www.matchwalls.com/fr/collections/paysages-muraux-matchwallsmurals","VERIFICADO Y CORRECTO","Redirect FR de un salto a 200.","Sin accion recomendada ahora.","ninguno"
"fr","gid://shopify/UrlRedirect/417581465827","/fr/collections/papiers-peints-botaniques-matchwallswallpapers","/fr/collections/peintures-murales-botaniques-matchwallsmurals","301 -> 200","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-botaniques-matchwallsmurals","VERIFICADO Y CORRECTO","Redirect FR de un salto a 200.","Sin accion recomendada ahora.","ninguno"
"fr","gid://shopify/UrlRedirect/417581498595","/fr/collections/papiers-peints-a-floral-matchwallswallspapers","/fr/collections/peintures-murales-florales-matchwallsmurals","301 -> 200","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-florales-matchwallsmurals","VERIFICADO Y CORRECTO","Redirect FR de un salto a 200.","Sin accion recomendada ahora.","ninguno"
"fr","gid://shopify/UrlRedirect/417581531363","/fr/collections/documents-peints-graphiques-matchwallswallpapers","/fr/collections/peintures-murales-graphiques-matchwallsmurals","301 -> 200","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-graphiques-matchwallsmurals","VERIFICADO Y CORRECTO","Redirect FR de un salto a 200.","Sin accion recomendada ahora.","ninguno"
"fr","gid://shopify/UrlRedirect/417581564131","/fr/collections/peintures-geometriques-matchwalswallpapers","/fr/collections/peintures-murales-geometriques-matchwallsmurs","301 -> 200","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-geometriques-matchwallsmurs","VERIFICADO Y CORRECTO","Redirect FR de un salto a 200.","Sin accion recomendada ahora.","ninguno"
"fr","gid://shopify/UrlRedirect/417581596899","/fr/collections/documents-peints-de-la-nature-matchwallswallpapers","/fr/collections/peintures-murales-de-la-nature-matchwallsmurals","301 -> 200","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-de-la-nature-matchwallsmurals","VERIFICADO Y CORRECTO","Redirect FR de un salto a 200.","Sin accion recomendada ahora.","ninguno"
"fr","gid://shopify/UrlRedirect/417581629667","/fr/collections/papier-peint-matchwallswallpapers","/fr/collections/rayons-muraux-matchwallsmurals","301 -> 200","1","200","https://www.matchwalls.com/fr/collections/rayons-muraux-matchwallsmurals","VERIFICADO Y CORRECTO","Redirect FR de un salto a 200.","Sin accion recomendada ahora.","ninguno"
"fr","gid://shopify/UrlRedirect/417581662435","/fr/collections/papiers-peints-japonais-matchwallswallpapers","/fr/collections/peintures-murales-japonaises-matchwallsmurals","301 -> 200","1","200","https://www.matchwalls.com/fr/collections/peintures-murales-japonaises-matchwallsmurals","VERIFICADO Y CORRECTO","Redirect FR de un salto a 200.","Sin accion recomendada ahora.","ninguno"
"fr","gid://shopify/UrlRedirect/417581695203","/fr/collections/marbre-papeles-peint-matchwallswallpa","/fr/collections/murale-murale-matchwallsmurals","301 -> 200","1","200","https://www.matchwalls.com/fr/collections/murale-murale-matchwallsmurals","VERIFICADO Y CORRECTO","Redirect FR de un salto a 200.","Sin accion recomendada ahora.","ninguno"
"fr","gid://shopify/UrlRedirect/417581727971","/fr/collections/papiers-en-bois-peint-matchwallswallpapers","/fr/collections/math-muross-matchwallsmaderas-12","301 -> 200","1","200","https://www.matchwalls.com/fr/collections/math-muross-matchwallsmaderas-12","VERIFICADO Y CORRECTO","Redirect FR de un salto a 200.","Sin accion recomendada ahora.","ninguno"
"en","gid://shopify/UrlRedirect/417581203683","/en/collections/matchwalls-painted-papers-matchwallswallpapers","/en/collections/all-matchwallsmurals-murals","301 -> 200","1","200","https://www.matchwalls.com/en/collections/all-matchwallsmurals-murals","VERIFICADO Y CORRECTO","Redirect EN de un salto a 200.","Sin accion recomendada ahora.","ninguno"
"en","gid://shopify/UrlRedirect/1544891629944","/en/collections/black-murals-matchwallsmurals","/en/collections/black-painted-papers-matchwallswallpapers","301 -> 200","1","200","https://www.matchwalls.com/en/collections/black-painted-papers-matchwallswallpapers","VERIFICADO Y CORRECTO","Redirect EN de un salto a 200.","Sin accion recomendada ahora.","ninguno"
"ar","gid://shopify/UrlRedirect/411265990883","/ar/pages/%d8%af%d9%84%d9%8a%d9%84-%d8%a7%d9%84%d8%aa%d8%ab%d8%a8%d9%8a%d8%aa","/ar/pages/installation-guide-1","301 -> 404","1","404","https://www.matchwalls.com/ar/pages/installation-guide-1","STANDBY","Redirect AR termina en 404, pero AR queda fuera del alcance prioritario actual.","No tocar sin politica internacional o aprobacion expresa para AR.","STANDBY"
"ar","gid://shopify/UrlRedirect/411460862179","/ar/collections/%d8%a7%d9%84%d9%84%d9%88%d8%ad%d8%a7%d8%aa-%d8%a7%d9%84%d9%82%d9%85%d8%a7%d8%b4%d9%8a%d8%a9-matchwallsartprints","/ar/collections/lienzos","301 -> 301 -> 301 -> 200","3","200","https://www.matchwalls.com/en","STANDBY","Redirect AR con cadena multiple y posible cruce de idioma hacia EN.","No tocar sin politica internacional o aprobacion expresa para AR.","STANDBY"
"ar","gid://shopify/UrlRedirect/1534402724216","/ar/collections/%d8%ac%d8%af%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d9%84%d9%84%d9%85%d8%b7%d8%a8%d8%ae-matchwallsmurals","/en/collections/black-painted-papers-matchwallswallpapers","301 -> 200","1","200","https://www.matchwalls.com/en/collections/black-painted-papers-matchwallswallpapers","STANDBY","Redirect AR fuera de alcance prioritario.","Sin accion ahora.","STANDBY"
"ar","gid://shopify/UrlRedirect/1534402756984","/ar/collections/%d8%ae%d9%84%d9%81%d9%8a%d8%a7%d8%aa-%d8%b3%d9%88%d8%af%d8%a7%d8%a1-matchwallswallpapers","/en","301 -> 200","1","200","https://www.matchwalls.com/en","STANDBY","Redirect AR fuera de alcance prioritario.","Sin accion ahora.","STANDBY"
