lote,queue_rank,priority,url,status_bingbot,final_url_bingbot,redirect_count_bingbot,elapsed_ms_bingbot,x_request_id,served_by,render_ms,cache_control,error,crawler_state
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,11,MEDIA,https://www.matchwalls.com/en/collections/tarragona-wallpaper,429,https://www.matchwalls.com/en/collections/tarragona-wallpaper,0,159,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,12,BAJA,https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes,429,https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes,0,137,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,13,BAJA,https://www.matchwalls.com/collections/comprar-papel-pintado-paris,429,https://www.matchwalls.com/collections/comprar-papel-pintado-paris,0,176,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,14,BAJA,https://www.matchwalls.com/products/marejada-azul,429,https://www.matchwalls.com/products/marejada-azul,0,130,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,15,BAJA,https://www.matchwalls.com/collections/papeles-pintados-color-lila,429,https://www.matchwalls.com/collections/papeles-pintados-color-lila,0,149,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,16,BAJA,https://www.matchwalls.com/collections/murales-estilo-paisajes,429,https://www.matchwalls.com/collections/murales-estilo-paisajes,0,130,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,17,BAJA,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,429,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,0,356,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,18,BAJA,https://www.matchwalls.com/blogs/inspiracion/aprende-a-empapelar-paredes-y-techos-con-calidades-non-woven-vinilicas-y-peel-and-stick,429,https://www.matchwalls.com/blogs/inspiracion/aprende-a-empapelar-paredes-y-techos-con-calidades-non-woven-vinilicas-y-peel-and-stick,0,205,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,19,BAJA,https://www.matchwalls.com/products/polka-dot-delight-rosa,429,https://www.matchwalls.com/products/polka-dot-delight-rosa,0,162,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,20,BAJA,https://www.matchwalls.com/collections/comprar-papel-pintado-huelva,429,https://www.matchwalls.com/collections/comprar-papel-pintado-huelva,0,134,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,21,BAJA,https://www.matchwalls.com/collections/murales-para-el-dormitorio,429,https://www.matchwalls.com/collections/murales-para-el-dormitorio,0,144,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,22,BAJA,https://www.matchwalls.com/products/ondas-suaves-azul,429,https://www.matchwalls.com/products/ondas-suaves-azul,0,150,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,23,BAJA,https://www.matchwalls.com/products/tartan-contemporaneo-beige,429,https://www.matchwalls.com/products/tartan-contemporaneo-beige,0,158,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,24,BAJA,https://www.matchwalls.com/collections/comprar-papel-pintado-marsella,429,https://www.matchwalls.com/collections/comprar-papel-pintado-marsella,0,194,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,25,BAJA,https://www.matchwalls.com/collections/papeles-pintados-color-plateado,429,https://www.matchwalls.com/collections/papeles-pintados-color-plateado,0,164,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,26,BAJA,https://www.matchwalls.com/en/products/verdant-zenith-gray-3,429,https://www.matchwalls.com/en/products/verdant-zenith-gray-3,0,227,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,27,BAJA,https://www.matchwalls.com/en/collections/malaga-wallpaper,429,https://www.matchwalls.com/en/collections/malaga-wallpaper,0,192,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,28,BAJA,https://www.matchwalls.com/collections/murales-para-una-oficina-comercial,429,https://www.matchwalls.com/collections/murales-para-una-oficina-comercial,0,186,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,29,BAJA,https://www.matchwalls.com/collections/papeles-pintados-color-amarillo,429,https://www.matchwalls.com/collections/papeles-pintados-color-amarillo,0,210,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,30,BAJA,https://www.matchwalls.com/products/tartan-contemporaneo-amarillo,429,https://www.matchwalls.com/products/tartan-contemporaneo-amarillo,0,152,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,31,BAJA,https://www.matchwalls.com/products/navy-precision-azul,429,https://www.matchwalls.com/products/navy-precision-azul,0,151,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,32,BAJA,https://www.matchwalls.com/products/tartan-contemporaneo-azul,429,https://www.matchwalls.com/products/tartan-contemporaneo-azul,0,184,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,33,BAJA,https://www.matchwalls.com/collections/papeles-pintados-color-rosa,429,https://www.matchwalls.com/collections/papeles-pintados-color-rosa,0,183,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,34,BAJA,https://www.matchwalls.com/fr/products/eclipse-lunaire-grise,429,https://www.matchwalls.com/fr/products/eclipse-lunaire-grise,0,135,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,35,BAJA,https://www.matchwalls.com/en/collections/la-rioja-wallpaper,429,https://www.matchwalls.com/en/collections/la-rioja-wallpaper,0,147,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,36,BAJA,https://www.matchwalls.com/collections/murales-estilo-maderas,429,https://www.matchwalls.com/collections/murales-estilo-maderas,0,156,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,37,BAJA,https://www.matchwalls.com/en/collections/castellon-wallpaper,429,https://www.matchwalls.com/en/collections/castellon-wallpaper,0,296,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,38,BAJA,https://www.matchwalls.com/de/collections/peel-stick-self-adhasive-tapete,429,https://www.matchwalls.com/de/collections/peel-stick-self-adhasive-tapete,0,156,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,39,BAJA,https://www.matchwalls.com/products/tartan-sutil-beige,429,https://www.matchwalls.com/products/tartan-sutil-beige,0,180,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,40,BAJA,https://www.matchwalls.com/products/cuadricula-clasica-blanco-y-negro,429,https://www.matchwalls.com/products/cuadricula-clasica-blanco-y-negro,0,190,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,41,BAJA,https://www.matchwalls.com/en/pages/all-about-our-murals,429,https://www.matchwalls.com/en/pages/all-about-our-murals,0,191,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,42,BAJA,https://www.matchwalls.com/products/stripe-harmony-verde,429,https://www.matchwalls.com/products/stripe-harmony-verde,0,204,,cloudflare,,,HTTPError,VERIFICADO PERO MEJORABLE
