lote,queue_rank,priority,locale_signal,page_type,topic_cluster,url,browser_status,browser_final_url,browser_redirect_count,title_clean,title_clean_len,title_extraction_note,meta_description_len,meta_description,h1_count,h1_first,canonical,canonical_self_or_original,hreflang_count,html_lang,jsonld_types,page_level_state,page_level_issue,crawler_or_waf_note,write_allowed_now
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,12,BAJA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes,429,https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,13,BAJA,ES,collection,Geo/local,https://www.matchwalls.com/collections/comprar-papel-pintado-paris,429,https://www.matchwalls.com/collections/comprar-papel-pintado-paris,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,14,BAJA,ES,product,Producto,https://www.matchwalls.com/products/marejada-azul,429,https://www.matchwalls.com/products/marejada-azul,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,15,BAJA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/papeles-pintados-color-lila,429,https://www.matchwalls.com/collections/papeles-pintados-color-lila,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,16,BAJA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-estilo-paisajes,429,https://www.matchwalls.com/collections/murales-estilo-paisajes,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,17,BAJA,FR,page,Mural personalizado / informacional,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,429,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,18,BAJA,ES,blog,Medici?n/instalaci?n,https://www.matchwalls.com/blogs/inspiracion/aprende-a-empapelar-paredes-y-techos-con-calidades-non-woven-vinilicas-y-peel-and-stick,429,https://www.matchwalls.com/blogs/inspiracion/aprende-a-empapelar-paredes-y-techos-con-calidades-non-woven-vinilicas-y-peel-and-stick,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,19,BAJA,ES,product,Producto,https://www.matchwalls.com/products/polka-dot-delight-rosa,429,https://www.matchwalls.com/products/polka-dot-delight-rosa,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,20,BAJA,ES,collection,Geo/local,https://www.matchwalls.com/collections/comprar-papel-pintado-huelva,429,https://www.matchwalls.com/collections/comprar-papel-pintado-huelva,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,21,BAJA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-para-el-dormitorio,429,https://www.matchwalls.com/collections/murales-para-el-dormitorio,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,22,BAJA,ES,product,Producto,https://www.matchwalls.com/products/ondas-suaves-azul,429,https://www.matchwalls.com/products/ondas-suaves-azul,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,23,BAJA,ES,product,Producto,https://www.matchwalls.com/products/tartan-contemporaneo-beige,429,https://www.matchwalls.com/products/tartan-contemporaneo-beige,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,24,BAJA,ES,collection,Geo/local,https://www.matchwalls.com/collections/comprar-papel-pintado-marsella,429,https://www.matchwalls.com/collections/comprar-papel-pintado-marsella,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,25,BAJA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/papeles-pintados-color-plateado,429,https://www.matchwalls.com/collections/papeles-pintados-color-plateado,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,26,BAJA,EN,product,Producto,https://www.matchwalls.com/en/products/verdant-zenith-gray-3,429,https://www.matchwalls.com/en/products/verdant-zenith-gray-3,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,27,BAJA,EN,collection,Geo/local,https://www.matchwalls.com/en/collections/malaga-wallpaper,429,https://www.matchwalls.com/en/collections/malaga-wallpaper,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,28,BAJA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-para-una-oficina-comercial,429,https://www.matchwalls.com/collections/murales-para-una-oficina-comercial,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,29,BAJA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/papeles-pintados-color-amarillo,429,https://www.matchwalls.com/collections/papeles-pintados-color-amarillo,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,30,BAJA,ES,product,Producto,https://www.matchwalls.com/products/tartan-contemporaneo-amarillo,429,https://www.matchwalls.com/products/tartan-contemporaneo-amarillo,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,31,BAJA,ES,product,Producto,https://www.matchwalls.com/products/navy-precision-azul,429,https://www.matchwalls.com/products/navy-precision-azul,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,32,BAJA,ES,product,Producto,https://www.matchwalls.com/products/tartan-contemporaneo-azul,429,https://www.matchwalls.com/products/tartan-contemporaneo-azul,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,33,BAJA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/papeles-pintados-color-rosa,429,https://www.matchwalls.com/collections/papeles-pintados-color-rosa,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,34,BAJA,FR,product,Producto,https://www.matchwalls.com/fr/products/eclipse-lunaire-grise,429,https://www.matchwalls.com/fr/products/eclipse-lunaire-grise,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,35,BAJA,EN,collection,Geo/local,https://www.matchwalls.com/en/collections/la-rioja-wallpaper,429,https://www.matchwalls.com/en/collections/la-rioja-wallpaper,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,36,BAJA,ES,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/collections/murales-estilo-maderas,429,https://www.matchwalls.com/collections/murales-estilo-maderas,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,37,BAJA,EN,collection,Geo/local,https://www.matchwalls.com/en/collections/castellon-wallpaper,429,https://www.matchwalls.com/en/collections/castellon-wallpaper,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,38,BAJA,DE,collection,Colecci?n producto/color/patr?n/espacio,https://www.matchwalls.com/de/collections/peel-stick-self-adhasive-tapete,429,https://www.matchwalls.com/de/collections/peel-stick-self-adhasive-tapete,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,39,BAJA,ES,product,Producto,https://www.matchwalls.com/products/tartan-sutil-beige,429,https://www.matchwalls.com/products/tartan-sutil-beige,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,40,BAJA,ES,product,Producto,https://www.matchwalls.com/products/cuadricula-clasica-blanco-y-negro,429,https://www.matchwalls.com/products/cuadricula-clasica-blanco-y-negro,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,41,BAJA,EN,page,Mural personalizado / informacional,https://www.matchwalls.com/en/pages/all-about-our-murals,429,https://www.matchwalls.com/en/pages/all-about-our-murals,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,42,BAJA,ES,product,Producto,https://www.matchwalls.com/products/stripe-harmony-verde,429,https://www.matchwalls.com/products/stripe-harmony-verde,0,,0,,0,,0,,,no,0,,,INCOMPLETO,qa_blocked_by_cloudflare_429_not_page_level_failure,Cloudflare 429 prevented full QA from this environment,no
